ACC=0.572193, f1_macro=0.234489, precision_macro=0.421270, recall_macro=0.246378, f1_micro=0.572193, precision_micro=0.572193, recall_micro=0.572193, NMI=0.120822, ADJ_RAND_SCORE=0.105488
ACC=0.422821, f1_macro=0.356013, precision_macro=0.365943, recall_macro=0.407285, f1_micro=0.422821, precision_micro=0.422821, recall_micro=0.422821, NMI=0.199086, ADJ_RAND_SCORE=0.143557
ACC=0.466667, f1_macro=0.255198, precision_macro=0.455615, recall_macro=0.273538, f1_micro=0.466667, precision_micro=0.466667, recall_micro=0.466667, NMI=0.117798, ADJ_RAND_SCORE=0.043782
ACC=0.528302, f1_macro=0.313060, precision_macro=0.420846, recall_macro=0.299722, f1_micro=0.528302, precision_micro=0.528302, recall_micro=0.528302, NMI=0.193368, ADJ_RAND_SCORE=0.149887
ACC=0.391304, f1_macro=0.344907, precision_macro=0.392057, recall_macro=0.368340, f1_micro=0.391304, precision_micro=0.391304, recall_micro=0.391304, NMI=0.193833, ADJ_RAND_SCORE=0.121403
ACC=0.191464, f1_macro=0.185884, precision_macro=0.191316, recall_macro=0.187954, f1_micro=0.191464, precision_micro=0.191464, recall_micro=0.191464, NMI=0.003976, ADJ_RAND_SCORE=0.001470
ACC=0.262032, f1_macro=0.210686, precision_macro=0.262924, recall_macro=0.213675, f1_micro=0.262032, precision_micro=0.262032, recall_micro=0.262032, NMI=0.032465, ADJ_RAND_SCORE=0.005376
ACC=0.171344, f1_macro=0.163215, precision_macro=0.171630, recall_macro=0.175358, f1_micro=0.171344, precision_micro=0.171344, recall_micro=0.171344, NMI=0.007195, ADJ_RAND_SCORE=0.002292
ACC=0.353846, f1_macro=0.339714, precision_macro=0.354291, recall_macro=0.377928, f1_micro=0.353846, precision_micro=0.353846, recall_micro=0.353846, NMI=0.103044, ADJ_RAND_SCORE=0.050338
ACC=0.294340, f1_macro=0.255137, precision_macro=0.295015, recall_macro=0.290456, f1_micro=0.294340, precision_micro=0.294340, recall_micro=0.294340, NMI=0.044728, ADJ_RAND_SCORE=0.022070
ACC=0.109000, f1_macro=0.100855, precision_macro=0.108426, recall_macro=0.115554, f1_micro=0.109000, precision_micro=0.109000, recall_micro=0.109000, NMI=0.066803, ADJ_RAND_SCORE=0.000492
ACC=0.075500, f1_macro=0.073561, precision_macro=0.075272, recall_macro=0.084956, f1_micro=0.075500, precision_micro=0.075500, recall_micro=0.075500, NMI=0.166627, ADJ_RAND_SCORE=-0.000770
ACC=0.067333, f1_macro=0.066829, precision_macro=0.067524, recall_macro=0.085754, f1_micro=0.067333, precision_micro=0.067333, recall_micro=0.067333, NMI=0.233866, ADJ_RAND_SCORE=0.000869
ACC=0.062500, f1_macro=0.061580, precision_macro=0.062535, recall_macro=0.077324, f1_micro=0.062500, precision_micro=0.062500, recall_micro=0.062500, NMI=0.243399, ADJ_RAND_SCORE=0.000517
ACC=0.058000, f1_macro=0.057989, precision_macro=0.058012, recall_macro=0.074676, f1_micro=0.058000, precision_micro=0.058000, recall_micro=0.058000, NMI=0.275778, ADJ_RAND_SCORE=0.000138
ACC=0.110000, f1_macro=0.103590, precision_macro=0.109832, recall_macro=0.120799, f1_micro=0.110000, precision_micro=0.110000, recall_micro=0.110000, NMI=0.066023, ADJ_RAND_SCORE=0.000076
ACC=0.075500, f1_macro=0.074838, precision_macro=0.075207, recall_macro=0.088060, f1_micro=0.075500, precision_micro=0.075500, recall_micro=0.075500, NMI=0.168006, ADJ_RAND_SCORE=-0.000363
ACC=0.069667, f1_macro=0.068080, precision_macro=0.070027, recall_macro=0.085371, f1_micro=0.069667, precision_micro=0.069667, recall_micro=0.069667, NMI=0.231145, ADJ_RAND_SCORE=0.000470
ACC=0.063250, f1_macro=0.062750, precision_macro=0.063253, recall_macro=0.079029, f1_micro=0.063250, precision_micro=0.063250, recall_micro=0.063250, NMI=0.242084, ADJ_RAND_SCORE=0.000266
ACC=0.058400, f1_macro=0.058147, precision_macro=0.058195, recall_macro=0.073649, f1_micro=0.058400, precision_micro=0.058400, recall_micro=0.058400, NMI=0.276490, ADJ_RAND_SCORE=0.000382
